"post_date","post_content","post_title","post_name","guid"
"04/10/2015 22:41:08","Its so important to be in the ""zone""! Programming is such a creative environment. There are so much variables in turning something shitty into something great. And sometomes your just not in the zone, and everything out of your fingers is just ready for refactoring.

Do you self a favor, watch a movie, do your taxes but stay F!@# away from you keyboard!","Being in the ""zone""","being-in-the-zone","http://www.weteling.com/wp/wp-content/uploads/2015/04/photodune-2630725-blured-text-on-vintage-paper-with-focus-on-focus-xs.jpg"
"04/26/2015 17:02:35","So the time has come that your fed up with the response times of Heroku, the slow deploy method etc. Although the deploy method rocks, the speed has allot to wish for.

So i started looking into capistrano and mina. Both seem to have the same idea about deployment. You start by creating a complete working environment in a separate location. Once that is a success you create a symlink to this location and you have upgraded. When exactly the migrations are executed i don't know. But thats a small item to overcome. Personally i think you may never create a migration that can break the previous version of your app. So in my case its not even relevant.

But back to mina, i'ts so nice to setup, its so straight forward and simple. I like it allot. So if your planning to create some deploy script... DON'T!!! don't do stuff that other people have thought about more than you have time for.

My next hurdle is setting up my complete server environment with Ansible ( already done, but started hacking in my server for Mina ) and getting Mina up and running in just one command :)","Mina ( rails deployment )","mina-rails-deployment","http://www.weteling.com/wp/wp-content/uploads/2015/04/logo.png"
"10/23/2015 10:22:08","So i was annoyed by default Agile tooling. Thins like ""Trello"" and ""Flow"" just dont cut it. I need more workflows, i used to work with jira 6.something, but it was soooo slow. That was a self hosted system by a client. And before that we had an instance in the Atlassian cloud. But once again so slow! So i ignorred jira for a while, until i got fed up again with de default tooling and installed jira on a VPS 2 core 2,4 xeon with 4gb memory and a ssd disk. Still it was a bit slow, than i started looking at the logs and saw i needed to install tomcat native. Ive compiled this for my ubuntu 15.04 box. And it started speeding up, than i allocated 2GB to the JVM heap and we where in business!

Now ive gat a blazing fast

For everyone who wants to do something similar, this is my history export to get the server working.

# install postgress

sudo apt-get update
sudo apt-get install htop
sudo apt-get install tree
sudo apt-get install postgresql postgresql-contrib
su - postgres
psql
create database jira;
create user jira with password 'SOMETHINGRANDOM';
grant all privileges on database jira to jira;

# Swapfile

sudo fallocate -l 4G /swapfile
ls -lh /swapfile
sudo chmod 600 /swapfile
ls -lh /swapfile
sudo mkswap /swapfile
sudo swapon /swapfile
sudo nano /etc/fstab
/swapfile none swap sw 0 0
reboot

# ipTables
iptables -A INPUT -i eth0 -p tcp --dport 80 -j ACCEPT
iptables -A INPUT -i eth0 -p tcp --dport 8080 -j ACCEPT
iptables -A PREROUTING -t nat -i eth0 -p tcp --dport 80 -j REDIRECT --to-port 8080
sudo apt-get install iptables-persistent

# tomcat native + jira
sudo apt-get install libapr1-dev libssl-dev
sudo apt-get install make
sudo apt-get update
sudo apt-get install openjdk-7-jdk

wget https://www.atlassian.com/software/jira/downloads/binary/atlassian-jira-software-7.0.0-jira-7.0.0-x32.bin

chmod +x atlassian-jira-software-7.0.0-jira-7.0.0-x32.bin
./atlassian-jira-software-7.0.0-jira-7.0.0-x32.bin

wget http://mirrors.supportex.net/apache/tomcat/tomcat-connectors/native/1.1.33/source/tomcat-native-1.1.33-src.tar.gz
tar -zxvf tomcat-native-1.1.33-src.tar.gz

cd /opt/tomcat-native-1.1.33-src/jni/native/
./configure --with-apr=/usr/bin/apr-1-config --with-java-home=/usr/lib/jvm/java-7-openjdk-amd64 --with-ssl=yes
make &amp;&amp; make install

cp /usr/local/apr/lib/* /usr/lib
cat /opt/atlassian/jira/logs/catalina.out | grep -A 1 ""AprLifecycleListener""","Jira self hosted","jira-self-hosted","http://www.weteling.com/wp/wp-content/uploads/2015/10/jira-100038423-gallery.png"
"11/12/2015 09:09:27","Just such in insightful book. Its no rocket science and it makes a lot of sence. The stupid thing is you don't come to the same conclusions quick enough. Let this book help you!","The lean startup","the-lean-startup","http://www.weteling.com/wp/wp-content/uploads/2015/11/livre-lean-startup.jpg"
"11/12/2015 09:10:56","Its written by a prick, teaching you how to become a prick. But is being a prick such a bad thing? You get shit done, trim the fat, loose the distractions.

Kind of like the guy.","The four hour workweek","the-four-hour-workweek","http://www.weteling.com/wp/wp-content/uploads/2015/11/71DPD5QEZCL._SL1263_.jpg"
"08/20/2016 15:39:25","Every programmer needs to do allot of stuff in the terminal, but where are all the user interfaces, where are the manuals. Well they dont exists in the way that we are used to. In Linux / Unix they have a basic principle and that is: ""Do one thing, and do it well"". So for every function we need a new program. A couple listed in the article below changed my life, especially ""ag"" aka the silver surfer.

Check it out!

<a href=""http://conqueringthecommandline.com/book/frontmatter"">http://conqueringthecommandline.com/book/frontmatter</a>","Basic terminal commands","basic-terminal-commands","http://www.weteling.com/wp/wp-content/uploads/2016/08/cover-web.png"
"03/31/2016 12:55:08","So, just to increase my love for Heroku, they have recently published a sysem called pipelines. This is a sort grouping of multiple dyno's with internal upgrading features. So you can easily upgrade your accept server to production. Very sexy

But what's this???? Automatic dyno creation linked to pull requests....

IM IN HEAVEN!!!","Yeaaaaahhaaaaaaa Heroku pipelines with Pull request dyno's","yeaaaaahhaaaaaaa-heroku-pipelines-with-pull-request-dynos","http://www.weteling.com/wp/wp-content/uploads/2016/03/Ca8l8pYWcAAJw7R.png"
"06/20/2016 11:59:37","No more host maddness, just *.dev to localhost :) its so nice thanks to <a href=""http://asciithoughts.com/"">ASCII Thoughts</a>
<blockquote>
<h1 id=""setting-up-a-wildcard-dns-domain-on-mac-os-x"">Setting up a wildcard <span class=""small-caps"">DNS</span> domain on Mac <span class=""small-caps"">OS</span> X</h1>
There are many ways to develop on a Mac, and many stack to choose from. One common and recurring need however is to access your local websites through a named domain, ie using <code>example.dev</code>. Thankfully, there is a really simple way to do this using <a href=""http://www.thekelleys.org.uk/dnsmasq/doc.html"">Dnsmasq</a> as a local resolver.
<h3 id=""install-dnsmasq"">Install Dnsmasq</h3>
This is straightforward with <a href=""http://brew.sh/"">Homebrew</a>:
<pre><code class=""hljs bash""><span class=""hljs-comment""># Install it</span>
brew install dnsmasq

<span class=""hljs-comment""># Create the etc dir if needed</span>
mkdir -p /usr/<span class=""hljs-built_in"">local</span>/etc

<span class=""hljs-comment""># Create a simple configuration</span>
<span class=""hljs-comment""># This forces the .dev domain to respond with 127.0.0.1</span>
<span class=""hljs-comment""># You can find more information in the default config file:</span>
<span class=""hljs-comment"">#   /usr/local/opt/dnsmasq/dnsmasq.conf.example</span>
<span class=""hljs-built_in"">echo</span> <span class=""hljs-string"">""address=/.dev/127.0.0.1""</span> &gt; /usr/<span class=""hljs-built_in"">local</span>/etc/dnsmasq.conf

<span class=""hljs-comment""># Install the daemon startup file</span>
sudo cp -fv /usr/<span class=""hljs-built_in"">local</span>/opt/dnsmasq/*.plist \
  /Library/LaunchDaemons

<span class=""hljs-comment""># Start the daemon</span>
sudo launchctl load \
  /Library/LaunchDaemons/homebrew.mxcl.dnsmasq.plist</code></pre>
<h3 id=""configure-mac-os-x"">Configure Mac <span class=""small-caps"">OS</span> X</h3>
All we need to do is tell the resolver to use Dnsmasq for <code>.dev</code> domains:
<pre><code class=""hljs bash""><span class=""hljs-comment""># man 5 resolver</span>
sudo mkdir -p /etc/resolver
sudo sh -c <span class=""hljs-string"">'echo ""nameserver 127.0.0.1"" &gt; /etc/resolver/dev'</span></code></pre>
You can now use any <code>.dev</code> domain and it will always resolve to <code>127.0.0.1</code>:
<pre><code class=""hljs bash"">ping google.com   <span class=""hljs-comment""># this still works</span>
<span class=""hljs-comment""># PING google.com (74.125.239.38): 56 data bytes</span>

ping foo.dev      <span class=""hljs-comment""># you can use any domain</span>
<span class=""hljs-comment""># PING foo.dev (127.0.0.1): 56 data bytes</span>

ping bar.baz.dev  <span class=""hljs-comment""># or subdomain</span>
<span class=""hljs-comment""># PING foo.dev (127.0.0.1): 56 data bytes</span></code></pre>
<h3 id=""conclusion"">Conclusion</h3>
This is very useful in particular for applications that use subdomains as account identifier: you can easily create new accounts on the fly, and never have to worry about your <code>/etc/hosts</code> file again.

Finally, you may also want to look at <a href=""http://pow.cx/"">Pow</a> (and <a href=""https://github.com/rodreegez/powder"">powder</a>). Pow will automatically start your Rails/Rack applications, and provides a <a href=""http://pow.cx/manual.html#section_2.1.4"">port proxying feature</a> for apps written in other languages. Definitely a great alternative.

That’s it for today.

Cheers!</blockquote>
Repost of:

http://asciithoughts.com/posts/2014/02/23/setting-up-a-wildcard-dns-domain-on-mac-os-x/","Setting up a wildcard domain on OSX","setting-up-a-wildcard-domain-on-osx","http://www.weteling.com/wp/wp-content/uploads/2016/06/dnsmasq_ubuntu.png"
"07/14/2016 11:33:16","You don't have to run your Rails app as root to access it on port 80. Instead, run it normally (on port 3000) and forward port 80 packets via iptables...

Linux:
<pre><code class=""prettyprint prettyprinted""><span class=""com""># localhost/loopback</span><span class=""pln"">
sudo iptables </span><span class=""pun"">-</span><span class=""pln"">t nat </span><span class=""pun"">-</span><span class=""pln"">I OUTPUT </span><span class=""pun"">-</span><span class=""pln"">p tcp </span><span class=""pun"">-</span><span class=""pln"">d </span><span class=""lit"">127.0</span><span class=""pun"">.</span><span class=""lit"">0.1</span> <span class=""pun"">--</span><span class=""pln"">dport </span><span class=""lit"">80</span> <span class=""pun"">-</span><span class=""pln"">j REDIRECT </span><span class=""pun"">--</span><span class=""pln"">to</span><span class=""pun"">-</span><span class=""pln"">ports </span><span class=""lit"">3000</span>

<span class=""com""># external</span><span class=""pln"">
sudo iptables </span><span class=""pun"">-</span><span class=""pln"">t nat </span><span class=""pun"">-</span><span class=""pln"">I PREROUTING </span><span class=""pun"">-</span><span class=""pln"">p tcp </span><span class=""pun"">--</span><span class=""pln"">dport </span><span class=""lit"">80</span> <span class=""pun"">-</span><span class=""pln"">j REDIRECT </span><span class=""pun"">--</span><span class=""pln"">to</span><span class=""pun"">-</span><span class=""pln"">ports </span><span class=""lit"">3000</span></code></pre>
Mac OS (This does not work in OSX Yosemite. If anyone knows how to do that, please comment!):
<pre><code class=""prettyprint prettyprinted""><span class=""pln"">sudo ipfw add </span><span class=""lit"">1</span><span class=""pln""> forward </span><span class=""lit"">127.0</span><span class=""pun"">.</span><span class=""lit"">0.1</span><span class=""pun"">,</span><span class=""lit"">3000</span><span class=""pln""> ip </span><span class=""kwd"">from</span><span class=""pln""> any to any </span><span class=""lit"">80</span> <span class=""kwd"">in</span></code></pre>","Route port 3000 to 80, without running as root","route-port-3000-to-80-without-running-as-root","http://www.weteling.com/wp/wp-content/uploads/2016/07/iptables.gif"
"08/12/2016 15:34:54","Just a brilliant talk from Gary Bernhardt, addressing some really soar point in our technical lifecycle.

Check it out!

<a href=""https://www.destroyallsoftware.com/talks/a-whole-new-world"">https://www.destroyallsoftware.com/talks/a-whole-new-world</a>","Just an awesome talk by Gary Bernhardt","just-awesome-talk-gary-bernhardt","http://www.weteling.com/wp/wp-content/uploads/2016/08/Screen-Shot-2016-08-12-at-15.32.55.png"
